url,qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_and_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_slash_domain,qty_questionmark_domain,qty_equal_domain,qty_at_domain,qty_and_domain,qty_exclamation_domain,qty_space_domain,qty_tilde_domain,qty_comma_domain,qty_plus_domain,qty_asterisk_domain,qty_hashtag_domain,qty_dollar_domain,qty_percent_domain,qty_dot_path,qty_hyphen_path,qty_underline_path,qty_slash_path,qty_questionmark_path,qty_equal_path,qty_at_path,qty_and_path,qty_exclamation_path,qty_space_path,qty_tilde_path,qty_comma_path,qty_plus_path,qty_asterisk_path,qty_hashtag_path,qty_dollar_path,qty_percent_path,qty_dot_query,qty_hyphen_query,qty_underline_query,qty_slash_query,qty_questionmark_query,qty_equal_query,qty_at_query,qty_and_query,qty_exclamation_query,qty_space_query,qty_tilde_query,qty_comma_query,qty_plus_query,qty_asterisk_query,qty_hashtag_query,qty_dollar_query,qty_percent_query,length_url,https,domain_in_ip,qty_vowels_domain,server_client_domain,qty_params,email_in_url,time_domain_activation,time_domain_expiration,domain_spf,qty_mx_servers,qty_nameservers,ttl_hostname,qty_ip_resolved,url_shortened,google_safe_browsing,tld,qty_tls,asn,phishing,redirect_count
http://moviepilot.com/posts/2014/09/16/matt-damon-and-paul-greengrass-reuniting-for-new-bourne-film-in-2016-2274205,1,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,6,0,0,0,7681,354,1,5,5,1800,1,0,0.0,0,1,33570,1,-1
http://emgn.com/entertainment/heres-how-15-of-your-favorite-celebrities-would-look-if-they-were-radiant-redheads/,1,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0.0,0,1,-1,1,-1
"https://www.linkedin.com/learning/topics/sales-3?trk=homepage-basic_learning-cta
",2,3,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81,1,0,4,0,1,0,7839,196,1,4,8,0,1,0,0.0,0,1,8068,0,0
http://deadspin.com/the-player-whose-bell-stayed-rung-1701974901/templates/closure/,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,4,0,0,0,8216,549,1,4,4,3600,4,0,0.0,0,1,54113,1,2
"https://apps.apple.com/us/app/adobe-account-access/id1514571935
",2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,3,0,0,0,13574,306,1,5,4,0,1,0,0.0,0,1,16625,0,0
"https://people.com/movies/election-actress-jessica-campbell-dies-38/
",1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,4,0,0,0,10914,42,1,5,8,0,4,0,0.0,0,1,54113,0,0
"https://support.google.com/wifi/answer/6246642
",2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,4,0,0,0,9713,1607,1,1,4,104,1,0,0.0,0,1,15169,0,1
http://web.de/magazine/politik/trotz-bnd-affaere-haelt-thomas-de-maiziere-amt-30616688,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,2,0,0,0,0,0,1,2,4,60,2,0,0.0,0,1,8560,1,1
"https://people.com/celebrity/star-tracks-monday-february-6-2023/
",1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,4,0,0,0,10914,42,1,5,8,0,4,0,0.0,0,1,54113,0,0
"https://people.com/human-interest/newlyweds-93-and-88-feel-like-the-luckiest-two-people-on-earth-thanks-to-online-dating-real-life-love/
",1,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,0,4,0,0,0,10914,42,1,5,8,0,4,0,0.0,0,1,54113,0,0
